Segment 1	Segment 2	Segment 3	Segment 4	Segment 5	Segment 6
74.606	77.272	77.694	75.468	77.56	78.043
73.422	76.188	75.373	73.161	76.275	75.906
75.529	76.884	76.516	75.066	78.031	77.241
76.251	77.952	77.362	75.795	78.571	78.749
75.979	77.751	77.558	75.881	79.129	77.959
-1.902	-1.928	-1.636	-1.721	-1.626	-1.98
8.232	9.762	8.835	7.864	9.166	9.759
8.875	10.538	9.093	8.282	9.766	10.515
8.056	9.688	8.263	7.543	8.723	9.274
2.166	1.977	2.476	2.452	1.735	1.786
-1.978	-2.149	-1.823	-1.601	-2.436	-1.831
-1.624	-2.761	-2.554	-2.502	-1.821	-2.784
-1.648	-3.549	-2.451	-2.352	-2.365	-3.129
-1.948	-3.484	-2.607	-2.348	-2.126	-3.423
-3.407	-5.553	-3.4	-3.725	-3.694	-4.886
-1.612	-2.266	-2.37	-1.648	-1.825	-2.728
5.37	5.371	6.153	4.803	5.745	5.32
3.157	2.306	2.53	3.284	2.247	2.132
0.251	-1.843	-1.81	-0.661	-2.287	-1.44
56.389	57.046	57.012	57.189	56.312	56.764
44.564	44.83	45.117	44.587	45.11	44.255
44.702	44.207	45.262	44.702	45.425	43.599
49.367	49.917	49.983	49.522	49.635	49.017
2.095	2.068	2.38	1.714	2.285	1.951
3.328	2.619	2.471	2.705	3.116	1.633
8.519	8.626	8.133	8.158	7.983	8.592
0.547	0.513	0.522	0.513	0.596	0.391
0.51	0.404	0.458	0.435	0.514	0.377
2.042	2.197	1.927	1.827	1.876	2.425
3.037	2.354	2.469	2.957	3.093	2.273
2.53	1.855	2.549	2.07	2.296	1.919
0.363	-1.516	-1.593	-0.185	-1.513	-1.594
10.378	7.363	7.962	9.906	7.068	8.588
4.294	0.418	0.964	4.96	0.788	0.831
-0.229	0.167	-0.08	-0.129	0.351	0.067
1.488	1.475	1.441	1.405	1.522	1.321
20.117	19.416	19.344	20.191	20.12	19.706
16.722	16.563	16.33	16.892	16.883	17.058
